,Actual,Predicted
70,0.94,0.9399999999999996
427,0.71,0.74
231,0.74,0.71
188,0.93,0.93
39,0.48,0.48
331,0.73,0.73
299,0.71,0.71
110,0.61,0.61
72,0.93,0.93
86,0.72,0.66
139,0.78,0.68
133,0.79,0.79
401,0.66,0.66
120,0.94,0.9399999999999996
311,0.84,0.84
190,0.9,0.9
168,0.64,0.64
22,0.94,0.9399999999999996
47,0.89,0.89
67,0.57,0.57
211,0.82,0.82
341,0.79,0.79
288,0.82,0.82
333,0.71,0.71
142,0.92,0.92
344,0.47,0.45
30,0.65,0.76
437,0.61,0.39
258,0.77,0.77
122,0.57,0.57
260,0.87,0.87
356,0.79,0.79
298,0.9,0.9
131,0.77,0.77
215,0.93,0.93
275,0.78,0.8
23,0.95,0.95
189,0.88,0.88
31,0.74,0.52
209,0.68,0.68
63,0.56,0.56
239,0.59,0.59
370,0.72,0.72
344,0.47,0.45
252,0.71,0.71
225,0.61,0.61
215,0.93,0.93
119,0.71,0.71
94,0.36,0.36
432,0.86,0.89
53,0.72,0.72
352,0.64,0.68
149,0.79,0.79
280,0.68,0.68
247,0.71,0.71
213,0.96,0.9699999999999999
137,0.71,0.71
396,0.84,0.8400000000000001
302,0.65,0.65
143,0.97,0.9699999999999999
44,0.91,0.86
390,0.64,0.64
339,0.81,0.81
48,0.82,0.82
208,0.64,0.64
198,0.7,0.7
268,0.83,0.83
116,0.56,0.56
328,0.8,0.8000000000000002
49,0.78,0.72
226,0.63,0.63
183,0.75,0.75
426,0.71,0.63
314,0.66,0.64
136,0.76,0.7
443,0.87,0.9
361,0.93,0.93
93,0.44,0.44
60,0.48,0.48
264,0.75,0.75
125,0.64,0.64
174,0.87,0.87
136,0.76,0.7
66,0.61,0.61
420,0.42,0.57
377,0.47,0.47
381,0.73,0.73
85,0.76,0.76
218,0.84,0.84
175,0.85,0.85
346,0.47,0.47
145,0.81,0.81
400,0.63,0.63
409,0.61,0.59
378,0.56,0.56
398,0.67,0.67
76,0.74,0.74
196,0.73,0.73
231,0.74,0.71
351,0.73,0.79
170,0.68,0.68
5,0.9,0.92
112,0.62,0.62
338,0.81,0.81
495,0.87,0.78
227,0.64,0.64
269,0.77,0.77
204,0.69,0.69
345,0.49,0.49
192,0.86,0.86
474,0.67,0.62
394,0.89,0.88
374,0.39,0.39
81,0.96,0.94
434,0.64,0.62
65,0.55,0.84
407,0.58,0.57
485,0.7,0.69
96,0.48,0.48
491,0.54,0.53
326,0.63,0.63
294,0.61,0.61
210,0.79,0.79
40,0.46,0.46
383,0.62,0.62
78,0.44,0.44
265,0.71,0.71
429,0.95,0.89
28,0.46,0.46
141,0.9,0.9
182,0.68,0.68
343,0.59,0.59
363,0.69,0.69
65,0.55,0.84
389,0.76,0.76
291,0.56,0.56
203,0.97,0.9699999999999999
457,0.37,0.53
86,0.72,0.66
235,0.88,0.88
250,0.74,0.7399999999999999
49,0.78,0.72
257,0.78,0.78
309,0.7,0.69
309,0.7,0.69
275,0.78,0.8
494,0.68,0.61
165,0.78,0.78
113,0.72,0.72
33,0.9,0.9
31,0.74,0.52
273,0.52,0.52
4,0.65,0.65
118,0.47,0.46
30,0.65,0.76
109,0.68,0.68
77,0.64,0.64
12,0.78,0.78
312,0.78,0.78
82,0.92,0.9
321,0.73,0.73
249,0.77,0.77
293,0.64,0.64
360,0.85,0.85
87,0.66,0.66
64,0.52,0.52
5,0.9,0.92
54,0.7,0.7
334,0.73,0.68
62,0.54,0.54
323,0.62,0.62
367,0.57,0.57
97,0.86,0.86
44,0.91,0.86
176,0.9,0.9
497,0.93,0.93
178,0.72,0.72
379,0.71,0.71
25,0.94,0.94
84,0.94,0.94
10,0.52,0.52
334,0.73,0.68
244,0.63,0.63
278,0.66,0.66
306,0.79,0.79
191,0.87,0.87
118,0.47,0.46
290,0.58,0.58
316,0.54,0.54
29,0.54,0.57
55,0.64,0.64
17,0.65,0.65
199,0.72,0.76
450,0.82,0.85
368,0.51,0.43
81,0.96,0.94
229,0.82,0.82
375,0.38,0.38
462,0.62,0.62
26,0.76,0.76
387,0.53,0.53
169,0.65,0.65
297,0.86,0.86
286,0.92,0.92
314,0.66,0.64
139,0.78,0.68
357,0.68,0.68
368,0.51,0.43
445,0.91,0.86
318,0.79,0.79
394,0.89,0.88
100,0.71,0.71
365,0.86,0.86
330,0.8,0.8000000000000002
82,0.92,0.9
9,0.45,0.45
73,0.84,0.84
292,0.56,0.56
7,0.68,0.68
51,0.56,0.56
155,0.77,0.77
351,0.73,0.79
29,0.54,0.57
101,0.64,0.64
199,0.72,0.76
213,0.96,0.9699999999999999
128,0.84,0.84
415,0.76,0.81
380,0.78,0.78
300,0.62,0.62
16,0.66,0.66
478,0.71,0.75
319,0.8,0.8000000000000002
2,0.72,0.72
254,0.85,0.85
107,0.91,0.91
99,0.79,0.79
266,0.72,0.7200000000000001
158,0.61,0.61
121,0.94,0.9399999999999996
436,0.58,0.39
167,0.64,0.64
332,0.75,0.75
32,0.91,0.91
305,0.74,0.74
36,0.64,0.64
126,0.85,0.85
8,0.5,0.5
493,0.62,0.64
359,0.81,0.81
185,0.89,0.89
255,0.79,0.79
259,0.9,0.9
212,0.95,0.95
428,0.69,0.67
79,0.46,0.46
148,0.96,0.9600000000000001
259,0.9,0.9
194,0.77,0.77
442,0.92,0.91
382,0.82,0.82
83,0.92,0.92
133,0.79,0.79
68,0.68,0.68
148,0.96,0.9600000000000001
106,0.87,0.87
253,0.93,0.93
238,0.7,0.7
352,0.64,0.68
281,0.8,0.8
