,Actual,Predicted
70,0.94,0.9376999999999995
427,0.71,0.7221000000000004
231,0.74,0.7283
188,0.93,0.9274000000000013
39,0.48,0.5170999999999991
331,0.73,0.7089999999999993
299,0.71,0.7102999999999998
110,0.61,0.6000999999999997
72,0.93,0.9162000000000013
86,0.72,0.6271000000000003
139,0.78,0.7811
133,0.79,0.7700000000000001
401,0.66,0.6797999999999997
120,0.94,0.9390999999999989
311,0.84,0.8384000000000009
190,0.9,0.8891000000000006
168,0.64,0.5994000000000003
22,0.94,0.9322999999999995
47,0.89,0.9112000000000006
67,0.57,0.6197000000000003
211,0.82,0.8308999999999996
341,0.79,0.7896000000000005
288,0.82,0.7984999999999993
333,0.71,0.7243
142,0.92,0.9202000000000009
344,0.47,0.4258000000000004
30,0.65,0.5755999999999996
437,0.61,0.5504000000000002
258,0.77,0.7661000000000007
122,0.57,0.5648000000000004
260,0.87,0.8685000000000003
356,0.79,0.7904000000000003
298,0.9,0.8968000000000004
131,0.77,0.7413000000000004
215,0.93,0.9188999999999993
275,0.78,0.7919999999999997
23,0.95,0.9380000000000014
189,0.88,0.8757000000000003
31,0.74,0.6132000000000004
209,0.68,0.6895
63,0.56,0.5655000000000003
239,0.59,0.5711000000000009
370,0.72,0.6733999999999994
344,0.47,0.4258000000000004
252,0.71,0.7077000000000001
225,0.61,0.6106999999999997
215,0.93,0.9188999999999993
119,0.71,0.7268999999999999
94,0.36,0.3947999999999999
432,0.86,0.8698999999999999
53,0.72,0.7110999999999996
352,0.64,0.6589
149,0.79,0.7541
280,0.68,0.7049000000000004
247,0.71,0.7044
213,0.96,0.960999999999999
137,0.71,0.6972
396,0.84,0.8345000000000015
302,0.65,0.6807999999999994
143,0.97,0.9696999999999992
44,0.91,0.8871000000000002
390,0.64,0.6431999999999999
339,0.81,0.8005000000000007
48,0.82,0.7829999999999991
208,0.64,0.6602000000000002
198,0.7,0.7165000000000006
268,0.83,0.8418999999999991
116,0.56,0.5897000000000007
328,0.8,0.7939999999999989
49,0.78,0.6964000000000001
226,0.63,0.6646000000000007
183,0.75,0.7566999999999999
426,0.71,0.7037999999999996
314,0.66,0.6548000000000002
136,0.76,0.7224000000000004
443,0.87,0.8859000000000004
361,0.93,0.9314000000000016
93,0.44,0.45609999999999995
60,0.48,0.4926999999999995
264,0.75,0.7471000000000002
125,0.64,0.6529000000000004
174,0.87,0.8495000000000005
136,0.76,0.7224000000000004
66,0.61,0.6692999999999997
420,0.42,0.5218000000000006
377,0.47,0.4769999999999996
381,0.73,0.7365999999999997
85,0.76,0.7247
218,0.84,0.830500000000001
175,0.85,0.8341999999999996
346,0.47,0.4816999999999996
145,0.81,0.7829000000000009
400,0.63,0.6263000000000002
409,0.61,0.5858000000000005
378,0.56,0.5403000000000004
398,0.67,0.6968000000000011
76,0.74,0.7275999999999998
196,0.73,0.7061999999999997
231,0.74,0.7283
351,0.73,0.7958
170,0.68,0.6759000000000002
5,0.9,0.9030000000000002
112,0.62,0.6163999999999993
338,0.81,0.8070000000000008
495,0.87,0.8182000000000004
227,0.64,0.6666000000000001
269,0.77,0.7575000000000006
204,0.69,0.6911999999999994
345,0.49,0.5146000000000004
192,0.86,0.8444999999999995
474,0.67,0.6170000000000002
394,0.89,0.8847999999999995
374,0.39,0.4910000000000004
81,0.96,0.9367999999999995
434,0.64,0.6369
65,0.55,0.7490000000000001
407,0.58,0.5489000000000004
485,0.7,0.6879
96,0.48,0.4934999999999994
491,0.54,0.5758000000000005
326,0.63,0.6206000000000007
294,0.61,0.6401999999999997
210,0.79,0.8010000000000004
40,0.46,0.5131000000000002
383,0.62,0.6266999999999993
78,0.44,0.4404
265,0.71,0.7156000000000005
429,0.95,0.8667000000000001
28,0.46,0.4585000000000006
141,0.9,0.9093000000000009
182,0.68,0.6445000000000001
343,0.59,0.6058000000000008
363,0.69,0.6838999999999993
65,0.55,0.7490000000000001
389,0.76,0.7507999999999996
291,0.56,0.5608000000000004
203,0.97,0.967999999999999
457,0.37,0.5114000000000004
86,0.72,0.6271000000000003
235,0.88,0.8835999999999997
250,0.74,0.7320999999999996
49,0.78,0.6964000000000001
257,0.78,0.7692000000000005
309,0.7,0.7112999999999997
309,0.7,0.7112999999999997
275,0.78,0.7919999999999997
494,0.68,0.6731999999999998
165,0.78,0.8009000000000005
113,0.72,0.6920999999999996
33,0.9,0.9146000000000012
31,0.74,0.6132000000000004
273,0.52,0.5457000000000006
4,0.65,0.6002999999999994
118,0.47,0.4572000000000002
30,0.65,0.5755999999999996
109,0.68,0.6650000000000001
77,0.64,0.6124000000000003
12,0.78,0.8060000000000004
312,0.78,0.7708000000000006
82,0.92,0.8804000000000001
321,0.73,0.7365999999999997
249,0.77,0.7700000000000005
293,0.64,0.6545000000000003
360,0.85,0.8213999999999999
87,0.66,0.643299999999999
64,0.52,0.6105000000000006
5,0.9,0.9030000000000002
54,0.7,0.6860000000000008
334,0.73,0.7633000000000005
62,0.54,0.5462999999999993
323,0.62,0.623799999999999
367,0.57,0.5584000000000002
97,0.86,0.8309999999999996
44,0.91,0.8871000000000002
176,0.9,0.8790000000000008
497,0.93,0.9297999999999996
178,0.72,0.7032999999999994
379,0.71,0.7025999999999997
25,0.94,0.9370999999999993
84,0.94,0.9298999999999991
10,0.52,0.5692000000000008
334,0.73,0.7633000000000005
244,0.63,0.6543000000000008
278,0.66,0.6765999999999991
306,0.79,0.8086000000000004
191,0.87,0.8577000000000001
118,0.47,0.4572000000000002
290,0.58,0.5729999999999992
316,0.54,0.5454999999999997
29,0.54,0.5184000000000003
55,0.64,0.6222000000000005
17,0.65,0.6566999999999994
199,0.72,0.7518000000000002
450,0.82,0.7899999999999998
368,0.51,0.5001999999999999
81,0.96,0.9367999999999995
229,0.82,0.815799999999999
375,0.38,0.4548000000000005
462,0.62,0.6111000000000003
26,0.76,0.7162000000000003
387,0.53,0.5745000000000002
169,0.65,0.6224999999999995
297,0.86,0.8516000000000001
286,0.92,0.9075000000000011
314,0.66,0.6548000000000002
139,0.78,0.7811
357,0.68,0.6606000000000002
368,0.51,0.5001999999999999
445,0.91,0.8736000000000002
318,0.79,0.7712000000000003
394,0.89,0.8847999999999995
100,0.71,0.6748000000000003
365,0.86,0.8596999999999998
330,0.8,0.797499999999999
82,0.92,0.8804000000000001
9,0.45,0.5257000000000007
73,0.84,0.7975000000000013
292,0.56,0.5538000000000005
7,0.68,0.6413999999999999
51,0.56,0.5589000000000005
155,0.77,0.7592000000000003
351,0.73,0.7958
29,0.54,0.5184000000000003
101,0.64,0.6127000000000001
199,0.72,0.7518000000000002
213,0.96,0.960999999999999
128,0.84,0.821600000000001
415,0.76,0.7952000000000002
380,0.78,0.7769000000000006
300,0.62,0.6124999999999994
16,0.66,0.6425999999999994
478,0.71,0.7269
319,0.8,0.7962999999999988
2,0.72,0.6949999999999993
254,0.85,0.8490999999999991
107,0.91,0.9152999999999986
99,0.79,0.7963000000000002
266,0.72,0.7074999999999996
158,0.61,0.6373999999999997
121,0.94,0.9379999999999992
436,0.58,0.5644000000000002
167,0.64,0.6607000000000001
332,0.75,0.7205999999999997
32,0.91,0.9106999999999986
305,0.74,0.7578
36,0.64,0.6002000000000003
126,0.85,0.8688999999999995
8,0.5,0.5064
493,0.62,0.6244999999999998
359,0.81,0.7654000000000007
185,0.89,0.8713
255,0.79,0.7661000000000004
259,0.9,0.9205000000000004
212,0.95,0.945800000000001
428,0.69,0.7163
79,0.46,0.4532000000000005
148,0.96,0.9612999999999987
259,0.9,0.9205000000000004
194,0.77,0.7585000000000001
442,0.92,0.9261999999999999
382,0.82,0.826199999999999
83,0.92,0.9087000000000006
133,0.79,0.7700000000000001
68,0.68,0.7550000000000006
148,0.96,0.9612999999999987
106,0.87,0.8609000000000006
253,0.93,0.9325000000000014
238,0.7,0.706000000000001
352,0.64,0.6589
281,0.8,0.7928999999999989
