,Actual,Predicted
70,0.94,0.8949255348454528
427,0.71,0.7094800110682911
231,0.74,0.636158389712574
188,0.93,0.8759154770270754
39,0.48,0.4291570810057521
331,0.73,0.6128119672687091
299,0.71,0.7614576340604173
110,0.61,0.6811696092811246
72,0.93,0.8190813609873941
86,0.72,0.6075026573273419
139,0.78,0.829906027971657
133,0.79,0.7427130049365871
401,0.66,0.7075620685393289
120,0.94,0.8878804264133862
311,0.84,0.8313635776905641
190,0.9,0.80450743914501
168,0.64,0.4733484212667747
22,0.94,0.8406740543907574
47,0.89,0.9735743409002964
67,0.57,0.662407059575554
211,0.82,0.7870238993384475
341,0.79,0.7733102074455303
288,0.82,0.7631232635214757
333,0.71,0.7214388155591507
142,0.92,0.9030036710357592
344,0.47,0.46616750739142954
30,0.65,0.5015573619350391
437,0.61,0.5650560875403527
258,0.77,0.6742583994384688
122,0.57,0.7107761257686718
260,0.87,0.7972237997930562
356,0.79,0.7732511621909282
298,0.9,0.851123603035586
131,0.77,0.6340485263683433
215,0.93,0.8553892831880432
275,0.78,0.8077384412501771
23,0.95,0.9092402855060129
189,0.88,0.759682897016529
31,0.74,0.5578848483457761
209,0.68,0.5370846846237611
63,0.56,0.6134411534332969
239,0.59,0.5894742923594378
370,0.72,0.6877072933605006
344,0.47,0.46616750739142954
252,0.71,0.6999166673087813
225,0.61,0.5778756740366873
215,0.93,0.8553892831880432
119,0.71,0.7566738364441619
94,0.36,0.48855858850968725
432,0.86,0.870511542340165
53,0.72,0.5466313752878988
352,0.64,0.5665156409997791
149,0.79,0.5830072744904384
280,0.68,0.653986146226299
247,0.71,0.7137834011848383
213,0.96,0.9683536812992599
137,0.71,0.6190526176835476
396,0.84,0.8804680784562435
302,0.65,0.6922425339473477
143,0.97,1.018458421695169
44,0.91,0.8389237613193756
390,0.64,0.7125145616484871
339,0.81,0.7400786841646834
48,0.82,0.7110765532308789
208,0.64,0.6108743343395246
198,0.7,0.6146022138166074
268,0.83,0.8422837272994286
116,0.56,0.650479723383097
328,0.8,0.7601396742286226
49,0.78,0.6411524499164727
226,0.63,0.6686218069992094
183,0.75,0.7412669204825135
426,0.71,0.7507638733843407
314,0.66,0.6143446454409343
136,0.76,0.5928753010850698
443,0.87,0.8564864304537252
361,0.93,0.9778451701897495
93,0.44,0.4625040673165415
60,0.48,0.5567004726801599
264,0.75,0.7797311999931764
125,0.64,0.7033064402969387
174,0.87,0.7650242594283838
136,0.76,0.5928753010850698
66,0.61,0.8404491498697382
420,0.42,0.49175865159871246
377,0.47,0.5263234166816175
381,0.73,0.7571324948842004
85,0.76,0.6677969304475766
218,0.84,0.8159292849925179
175,0.85,0.7269361926484919
346,0.47,0.5542138535858896
145,0.81,0.7593363114612941
400,0.63,0.6351833368719155
409,0.61,0.6326076093721269
378,0.56,0.539241933354998
398,0.67,0.7821603752856674
76,0.74,0.7344694028326841
196,0.73,0.6368667574754283
231,0.74,0.636158389712574
351,0.73,0.7500472921567336
170,0.68,0.5539599331861893
5,0.9,0.8352583467242141
112,0.62,0.5815376632128675
338,0.81,0.7429382333686874
495,0.87,0.839865395017324
227,0.64,0.7061938180743084
269,0.77,0.6104408205176071
204,0.69,0.6674110213682354
345,0.49,0.5177310290202797
192,0.86,0.7548504033950223
474,0.67,0.5987432216245281
394,0.89,0.8692632973290813
374,0.39,0.5722856480608527
81,0.96,0.8750356113925875
434,0.64,0.6520426621175204
65,0.55,0.7893566796012521
407,0.58,0.5600866313509243
485,0.7,0.6938549238877669
96,0.48,0.5359519308005758
491,0.54,0.5610234627858801
326,0.63,0.6284033683952941
294,0.61,0.6692290415851232
210,0.79,0.7762710327990419
40,0.46,0.5033967683304865
383,0.62,0.6513690096946732
78,0.44,0.37479894665396496
265,0.71,0.7776637373938058
429,0.95,0.8389504972185307
28,0.46,0.33722581943241603
141,0.9,0.8650149735369552
182,0.68,0.5108462081009122
343,0.59,0.6385208610774782
363,0.69,0.7054119190035919
65,0.55,0.7893566796012521
389,0.76,0.6880254248282938
291,0.56,0.6042646061871266
203,0.97,1.0215849726266526
457,0.37,0.537965205501888
86,0.72,0.6075026573273419
235,0.88,0.8339853702966422
250,0.74,0.7134326957932273
49,0.78,0.6411524499164727
257,0.78,0.6695258794827452
309,0.7,0.7414081228236966
309,0.7,0.7414081228236966
275,0.78,0.8077384412501771
494,0.68,0.7227340538122291
165,0.78,0.7780392477036286
113,0.72,0.6773864570170474
33,0.9,0.9236637013711799
31,0.74,0.5578848483457761
273,0.52,0.6332470155214025
4,0.65,0.6194703123366991
118,0.47,0.34390480313252847
30,0.65,0.5015573619350391
109,0.68,0.6287719347785525
77,0.64,0.5867942256629533
12,0.78,0.7686121313783871
312,0.78,0.7578683063222627
82,0.92,0.7662732295031958
321,0.73,0.6513778539267434
249,0.77,0.7613287746828348
293,0.64,0.5755167297358923
360,0.85,0.7106187396168309
87,0.66,0.614981818089501
64,0.52,0.7475607484559361
5,0.9,0.8352583467242141
54,0.7,0.5677161118985452
334,0.73,0.6830413501486248
62,0.54,0.555532237300423
323,0.62,0.6714798790674024
367,0.57,0.535652251030325
97,0.86,0.7758605730234478
44,0.91,0.8389237613193756
176,0.9,0.8176463231250011
497,0.93,0.9861222806250509
178,0.72,0.6244848975077104
379,0.71,0.6908393083033217
25,0.94,0.9126440206057225
84,0.94,0.8777568617117424
10,0.52,0.599078674848198
334,0.73,0.6830413501486248
244,0.63,0.7383065771029862
278,0.66,0.6993911716747163
306,0.79,0.8277721473461781
191,0.87,0.7646917728018081
118,0.47,0.34390480313252847
290,0.58,0.5213625096696262
316,0.54,0.6023742892468646
29,0.54,0.4150357685468691
55,0.64,0.4815271666195542
17,0.65,0.48702530653484355
199,0.72,0.705039827826323
450,0.82,0.8280513366955631
368,0.51,0.5787665941645457
81,0.96,0.8750356113925875
229,0.82,0.8351557110911301
375,0.38,0.5517256676869067
462,0.62,0.6177719275767515
26,0.76,0.7092404783654558
387,0.53,0.6649647324413592
169,0.65,0.5685733126631305
297,0.86,0.8664063097132668
286,0.92,0.8635250264380658
314,0.66,0.6143446454409343
139,0.78,0.829906027971657
357,0.68,0.5145509608448549
368,0.51,0.5787665941645457
445,0.91,0.8460127155160364
318,0.79,0.8271097243307224
394,0.89,0.8692632973290813
100,0.71,0.636207486579434
365,0.86,0.8659308477401566
330,0.8,0.7591445231703176
82,0.92,0.7662732295031958
9,0.45,0.6896295921217017
73,0.84,0.7273447926311121
292,0.56,0.6425238232225012
7,0.68,0.4873325286646206
51,0.56,0.526648209201295
155,0.77,0.7480095091488976
351,0.73,0.7500472921567336
29,0.54,0.4150357685468691
101,0.64,0.6025620057809931
199,0.72,0.705039827826323
213,0.96,0.9683536812992599
128,0.84,0.8200829252930191
415,0.76,0.755150197164977
380,0.78,0.7781320808173688
300,0.62,0.6190009115127679
16,0.66,0.6881600211674879
478,0.71,0.6836850460278867
319,0.8,0.7670023787688762
2,0.72,0.5053394017634047
254,0.85,0.8459476406753594
107,0.91,0.9186863198158164
99,0.79,0.7309524478225569
266,0.72,0.7411646079747072
158,0.61,0.6361859405771895
121,0.94,0.8937504484676821
436,0.58,0.45637213654502484
167,0.64,0.6685880522165746
332,0.75,0.6138719300254081
32,0.91,0.9073915130177113
305,0.74,0.7665876753346594
36,0.64,0.5802447963835504
126,0.85,0.8543877941594757
8,0.5,0.5626193330283342
493,0.62,0.6408426134914691
359,0.81,0.7847494182535513
185,0.89,0.7917098430373073
255,0.79,0.6400462967178384
259,0.9,0.8648824657904981
212,0.95,0.9397503888796848
428,0.69,0.828441344729282
79,0.46,0.4034409964844883
148,0.96,1.0024195673797578
259,0.9,0.8648824657904981
194,0.77,0.7614819621996787
442,0.92,0.9396035631109327
382,0.82,0.8382886493384205
83,0.92,0.8489900392344054
133,0.79,0.7427130049365871
68,0.68,0.8097139322528448
148,0.96,1.0024195673797578
106,0.87,0.7902174881348685
253,0.93,0.9609475642102836
238,0.7,0.7038012240848104
352,0.64,0.5665156409997791
281,0.8,0.807099777103059
