,Actual,Predicted
70,0.94,0.9397172
427,0.71,0.7175044
231,0.74,0.73389757
188,0.93,0.9283712
39,0.48,0.4807463
331,0.73,0.7297401
299,0.71,0.7092811
110,0.61,0.60930073
72,0.93,0.9307665
86,0.72,0.6491368
139,0.78,0.8035861
133,0.79,0.79002047
401,0.66,0.6811542
120,0.94,0.9403891
311,0.84,0.8400902
190,0.9,0.8985047
168,0.64,0.6405803
22,0.94,0.9387874
47,0.89,0.8901009
67,0.57,0.57033896
211,0.82,0.820923
341,0.79,0.790569
288,0.82,0.81917566
333,0.71,0.717789
142,0.92,0.9206182
344,0.47,0.43457827
30,0.65,0.5877481
437,0.61,0.47096738
258,0.77,0.7697969
122,0.57,0.5693759
260,0.87,0.8688181
356,0.79,0.79038554
298,0.9,0.8991162
131,0.77,0.7697872
215,0.93,0.925021
275,0.78,0.7942932
23,0.95,0.950262
189,0.88,0.8812977
31,0.74,0.65716624
209,0.68,0.68388873
63,0.56,0.55913323
239,0.59,0.58948797
370,0.72,0.71719366
344,0.47,0.43457827
252,0.71,0.7089264
225,0.61,0.60974646
215,0.93,0.925021
119,0.71,0.71124077
94,0.36,0.36270884
432,0.86,0.84265244
53,0.72,0.72038865
352,0.64,0.6766204
149,0.79,0.7848822
280,0.68,0.68277997
247,0.71,0.70986736
213,0.96,0.96374017
137,0.71,0.7078895
396,0.84,0.8397531
302,0.65,0.652301
143,0.97,0.96957916
44,0.91,0.8806798
390,0.64,0.6404529
339,0.81,0.80935377
48,0.82,0.8185534
208,0.64,0.6399399
198,0.7,0.70074046
268,0.83,0.83135575
116,0.56,0.5614212
328,0.8,0.80056804
49,0.78,0.6544102
226,0.63,0.6318723
183,0.75,0.7532226
426,0.71,0.6708056
314,0.66,0.6384198
136,0.76,0.7216233
443,0.87,0.8973922
361,0.93,0.93008375
93,0.44,0.44022605
60,0.48,0.48083436
264,0.75,0.75080377
125,0.64,0.64034045
174,0.87,0.86474127
136,0.76,0.7216233
66,0.61,0.60967773
420,0.42,0.4869888
377,0.47,0.47076344
381,0.73,0.7304567
85,0.76,0.75830525
218,0.84,0.83894694
175,0.85,0.8497368
346,0.47,0.47051132
145,0.81,0.8108743
400,0.63,0.63944787
409,0.61,0.56370884
378,0.56,0.5573559
398,0.67,0.67449635
76,0.74,0.7399247
196,0.73,0.7268127
231,0.74,0.73389757
351,0.73,0.76905775
170,0.68,0.68168586
5,0.9,0.8829004
112,0.62,0.62001175
338,0.81,0.8102779
495,0.87,0.85346675
227,0.64,0.6406458
269,0.77,0.7702356
204,0.69,0.6891262
345,0.49,0.48960286
192,0.86,0.8599936
474,0.67,0.5872196
394,0.89,0.8978761
374,0.39,0.39024904
81,0.96,0.95017093
434,0.64,0.6457542
65,0.55,0.6583505
407,0.58,0.51490575
485,0.7,0.7080792
96,0.48,0.47952586
491,0.54,0.5244773
326,0.63,0.6277478
294,0.61,0.6110601
210,0.79,0.7909287
40,0.46,0.4635928
383,0.62,0.6201052
78,0.44,0.439979
265,0.71,0.71066177
429,0.95,0.89518166
28,0.46,0.4603266
141,0.9,0.9008158
182,0.68,0.67668086
343,0.59,0.5917041
363,0.69,0.6904442
65,0.55,0.6583505
389,0.76,0.7591734
291,0.56,0.56172365
203,0.97,0.96956956
457,0.37,0.49747723
86,0.72,0.6491368
235,0.88,0.8804391
250,0.74,0.7394004
49,0.78,0.6544102
257,0.78,0.78120947
309,0.7,0.69295686
309,0.7,0.69295686
275,0.78,0.7942932
494,0.68,0.69099104
165,0.78,0.78045416
113,0.72,0.7141781
33,0.9,0.901805
31,0.74,0.65716624
273,0.52,0.5202897
4,0.65,0.64957184
118,0.47,0.44911653
30,0.65,0.5877481
109,0.68,0.67888767
77,0.64,0.63860047
12,0.78,0.782211
312,0.78,0.7797899
82,0.92,0.86297244
321,0.73,0.73076445
249,0.77,0.77258986
293,0.64,0.64225686
360,0.85,0.8480121
87,0.66,0.6601154
64,0.52,0.5230821
5,0.9,0.8829004
54,0.7,0.69929177
334,0.73,0.76555514
62,0.54,0.538924
323,0.62,0.61968374
367,0.57,0.57167935
97,0.86,0.8587033
44,0.91,0.8806798
176,0.9,0.89993894
497,0.93,0.93165547
178,0.72,0.7166106
379,0.71,0.7104609
25,0.94,0.94011813
84,0.94,0.9385927
10,0.52,0.51994765
334,0.73,0.76555514
244,0.63,0.63693345
278,0.66,0.66306794
306,0.79,0.79474616
191,0.87,0.87010753
118,0.47,0.44911653
290,0.58,0.57999605
316,0.54,0.54179865
29,0.54,0.5279727
55,0.64,0.6397703
17,0.65,0.65213436
199,0.72,0.76431715
450,0.82,0.8092721
368,0.51,0.49961025
81,0.96,0.95017093
229,0.82,0.81766444
375,0.38,0.38056797
462,0.62,0.5709054
26,0.76,0.7593343
387,0.53,0.5340804
169,0.65,0.64610505
297,0.86,0.86017835
286,0.92,0.91884714
314,0.66,0.6384198
139,0.78,0.8035861
357,0.68,0.6799824
368,0.51,0.49961025
445,0.91,0.87303007
318,0.79,0.78750086
394,0.89,0.8978761
100,0.71,0.7068948
365,0.86,0.86081856
330,0.8,0.80017877
82,0.92,0.86297244
9,0.45,0.45148468
73,0.84,0.8379731
292,0.56,0.55883056
7,0.68,0.67992425
51,0.56,0.56107426
155,0.77,0.76966393
351,0.73,0.76905775
29,0.54,0.5279727
101,0.64,0.63540083
199,0.72,0.76431715
213,0.96,0.96374017
128,0.84,0.8339524
415,0.76,0.8007433
380,0.78,0.7796408
300,0.62,0.6200753
16,0.66,0.65784854
478,0.71,0.7093529
319,0.8,0.7973969
2,0.72,0.7196166
254,0.85,0.8487588
107,0.91,0.910929
99,0.79,0.79002464
266,0.72,0.7135262
158,0.61,0.61334205
121,0.94,0.9393746
436,0.58,0.5476264
167,0.64,0.6444584
332,0.75,0.7487455
32,0.91,0.90932554
305,0.74,0.7413129
36,0.64,0.6388388
126,0.85,0.8507177
8,0.5,0.49995768
493,0.62,0.6182926
359,0.81,0.8095151
185,0.89,0.88511103
255,0.79,0.7882479
259,0.9,0.9177382
212,0.95,0.94989586
428,0.69,0.70738965
79,0.46,0.4590798
148,0.96,0.961074
259,0.9,0.9177382
194,0.77,0.77052945
442,0.92,0.9304411
382,0.82,0.82247376
83,0.92,0.9195839
133,0.79,0.79002047
68,0.68,0.6801688
148,0.96,0.961074
106,0.87,0.865151
253,0.93,0.9311133
238,0.7,0.6998539
352,0.64,0.6766204
281,0.8,0.7994932
